Timestamp,IP Address,User Agent,HTTP Status,Bytes Sent
2023-11-06 12:46:58.041297,192.168.224.101,UserAgent-5688,500,1730
2023-11-14 20:51:41.041297,192.168.244.143,UserAgent-5280,404,2265
2023-08-01 09:09:14.041297,192.168.217.120,UserAgent-4367,404,419
2023-09-19 13:54:08.041297,192.168.124.33,UserAgent-7192,200,4390
2023-06-24 00:39:33.041297,192.168.69.76,UserAgent-7638,500,4917
2023-10-10 10:13:45.041297,192.168.231.182,UserAgent-4200,404,4413
2023-04-17 09:56:09.041297,192.168.159.219,UserAgent-1951,404,4567
2023-05-15 00:34:03.041297,192.168.244.0,UserAgent-7676,404,6618
2023-08-14 16:01:05.041297,192.168.168.128,UserAgent-1423,200,4574
2023-08-17 17:05:26.041297,192.168.87.224,UserAgent-7474,404,5978
2023-10-21 14:44:41.041297,192.168.58.255,UserAgent-1060,404,8184
2024-01-21 17:58:35.041297,192.168.123.43,UserAgent-4190,200,1759
2023-08-14 03:33:53.041297,192.168.183.93,UserAgent-5477,500,5934
2023-09-17 18:23:21.041297,192.168.132.47,UserAgent-7459,500,7020
2023-03-29 01:43:22.041297,192.168.76.198,UserAgent-8076,404,9691
2023-10-12 08:13:43.041297,192.168.199.253,UserAgent-1736,500,4020
2024-02-03 06:27:13.041297,192.168.7.134,UserAgent-2887,200,1627
2023-08-25 23:45:07.041297,192.168.209.189,UserAgent-8455,500,8526
2023-05-07 03:19:42.041297,192.168.67.168,UserAgent-1695,200,2578
2023-03-27 17:55:51.041297,192.168.167.96,UserAgent-2284,200,7102
2023-05-02 17:45:02.041297,192.168.156.237,UserAgent-7306,500,6717
2023-10-15 01:00:33.041297,192.168.197.188,UserAgent-9680,500,6149
2024-01-30 11:59:16.041297,192.168.98.103,UserAgent-9447,404,5686
2023-07-11 13:54:34.041297,192.168.67.95,UserAgent-8066,404,2885
2023-10-20 01:52:36.041297,192.168.68.186,UserAgent-5270,500,992
2023-10-24 02:42:15.041297,192.168.96.74,UserAgent-3442,500,305
2023-06-16 05:59:32.041297,192.168.19.237,UserAgent-2131,500,2847
2024-02-22 12:40:27.041297,192.168.135.147,UserAgent-6952,500,1822
2023-05-06 04:22:42.041297,192.168.166.26,UserAgent-2425,404,4068
2023-08-29 03:37:30.041297,192.168.129.145,UserAgent-8232,500,691
2023-10-27 14:26:14.041297,192.168.102.110,UserAgent-3372,200,8671
2023-05-03 12:23:51.041297,192.168.215.91,UserAgent-5888,500,8840
2023-03-20 23:35:56.041297,192.168.246.54,UserAgent-5257,500,1627
2023-06-21 10:56:35.041297,192.168.128.187,UserAgent-5958,200,8599
2023-10-27 00:10:05.041297,192.168.238.72,UserAgent-7477,200,271
2023-04-11 01:31:36.041297,192.168.40.230,UserAgent-6461,404,7769
2023-07-27 07:35:03.041297,192.168.231.85,UserAgent-7617,404,533
2023-12-05 13:03:52.041297,192.168.29.85,UserAgent-2724,200,5148
2023-09-26 21:08:47.041297,192.168.70.101,UserAgent-6700,404,7434
2023-09-28 15:52:39.041297,192.168.239.9,UserAgent-6409,200,1321
2023-05-22 12:00:03.041297,192.168.58.26,UserAgent-8363,404,7908
2023-02-28 10:53:15.041297,192.168.9.120,UserAgent-1461,200,6635
2023-12-02 01:39:35.041297,192.168.160.81,UserAgent-4434,404,9922
2023-05-19 05:00:30.041297,192.168.211.214,UserAgent-4660,500,4457
2023-03-22 12:05:51.041297,192.168.51.36,UserAgent-3640,500,7900
2023-10-25 05:36:43.041297,192.168.227.38,UserAgent-8631,200,7330
2023-05-07 21:43:55.041297,192.168.64.148,UserAgent-7808,404,7646
2023-07-30 20:04:39.041297,192.168.46.230,UserAgent-8313,404,2560
2023-04-23 10:42:11.041297,192.168.188.196,UserAgent-9439,404,1536
2023-04-21 18:17:20.041297,192.168.6.237,UserAgent-5728,200,4040
2023-08-24 02:27:20.041297,192.168.74.200,UserAgent-4176,404,6492
2023-07-11 03:28:55.041297,192.168.166.155,UserAgent-3157,200,8933
2023-08-27 04:31:25.041297,192.168.71.111,UserAgent-3394,404,155
2023-08-27 11:33:24.041297,192.168.174.26,UserAgent-3322,200,2492
2023-10-05 20:44:04.041297,192.168.222.117,UserAgent-8572,200,4089
2024-01-16 22:51:52.041297,192.168.33.41,UserAgent-1175,500,8573
2023-04-12 02:44:17.041297,192.168.76.147,UserAgent-1269,404,2274
2023-04-06 14:10:53.041297,192.168.58.141,UserAgent-7544,200,2021
2023-11-14 12:56:47.041297,192.168.252.61,UserAgent-2040,500,5010
2023-08-16 02:51:18.041297,192.168.84.197,UserAgent-2653,500,1708
2023-03-11 10:28:49.041297,192.168.62.145,UserAgent-6883,404,9667
2023-05-10 09:55:32.041297,192.168.40.5,UserAgent-7003,500,6833
2024-02-10 03:39:36.041297,192.168.46.244,UserAgent-4841,404,4864
2023-10-27 05:23:21.041297,192.168.215.238,UserAgent-1808,404,8177
2023-11-08 20:44:24.041297,192.168.255.157,UserAgent-9159,200,5126
2023-04-28 06:23:43.041297,192.168.165.237,UserAgent-3781,500,9614
2023-07-18 12:04:31.041297,192.168.177.84,UserAgent-6564,500,7045
2023-12-23 18:00:54.041297,192.168.251.119,UserAgent-5225,404,668
2023-08-17 03:00:58.041297,192.168.248.32,UserAgent-2979,500,7912
2023-10-25 21:36:45.042311,192.168.154.230,UserAgent-6951,200,3288
